id;title;from_date;to_date;still_working_here;location;description
1;infomediaries Som Rustic Frozen Keyboard;2019-11-13;2019-11-13;false;Handmade Tuna;motivating Operations alarm
2;e-markets system;2019-11-13;2019-11-13;true;Cheese Steel;Wooden Ergonomic Steel Gloves
3;Developer Shoes Music;2019-11-13;2019-11-13;true;e-business Light;integrate Personal Loan Account
4;HTTP explicit;2019-11-13;2019-11-13;true;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors
5;invoice multi-byte;2019-11-13;2019-11-13;true;Granite haptic;Web revolutionize Branding
6;teal analyzing yellow;2019-11-13;2019-11-13;false;Credit Card Account;Handcrafted Plastic Shirt quantifying
7;wireless;2019-11-13;2019-11-13;false;Solomon Islands Dollar;Personal Loan Account HTTP
8;schemas Specialist China;2019-11-13;2019-11-13;true;Wyoming interface Cotton;quantify
9;JSON Texas;2019-11-13;2019-11-13;true;application Configurable iterate;Berkshire navigating
10;superstructure;2019-11-13;2019-11-13;false;Interactions;Fantastic time-frame Quality
