id;name;description;url
1;pink even-keeled;bus Internal AI;https://shirley.name
2;Unbranded Cheese Dynamic;Alabama transform;https://malachi.org
3;clear-thinking;Latvia;https://isaias.name
4;Devolved driver Networked;Fish;http://lysanne.net
5;alarm local area network Benin;turn-key dedicated;http://lamar.org
6;target Human withdrawal;dot-com payment Libyan Dinar;https://cleta.biz
7;Bedfordshire Alaska calculate;Chips;https://janet.org
8;Human;back up Factors;http://hilario.name
9;Wisconsin Facilitator Incredible;reinvent;https://domenick.biz
10;Pants Maryland;calculating Intranet Ergonomic Concrete Soap;https://yessenia.info
