id;name;type;description
1;Practical Steel Shirt Plastic Movies;OTHER;Zimbabwe parse Customer
2;input Accounts;TOOLS_TECHNOLOGIES;Response
3;white SMTP;TOOLS_TECHNOLOGIES;Borders Springs connecting
4;SAS;INTERPERSONAL;engage Granite Grocery
5;bluetooth payment digital;INTERPERSONAL;withdrawal Jamaica
6;International;OTHER;empower Home Loan Account SMS
7;back-end Via indexing;INTERPERSONAL;frictionless orchid
8;Future-proofed Awesome;TOOLS_TECHNOLOGIES;Shirt Metal
9;Mouse Rupiah;INDUSTRY_KNOWLEDGE;Officer Savings Account Automated
10;Pants even-keeled Chair;INTERPERSONAL;Island cyan
